# Silicon nitride (Si3N4, stoichiometric LPCVD) refractive index
# Source: Luke et al., Opt. Lett. 40, 4823-4826 (2015)
# Sellmeier formula valid 0.310-5.504 um
# k assumed = 0 (negligible absorption in VNIR-SWIR for stoichiometric Si3N4)
# NOTE: PECVD Si3N4 has hydrogen content and typically n ~ 1.85-1.95 (lower)
wavelength_nm,n,k
400.0,2.100421,0.000000e+00
405.0,2.097823,0.000000e+00
410.0,2.095330,0.000000e+00
415.0,2.092937,0.000000e+00
420.0,2.090638,0.000000e+00
425.0,2.088429,0.000000e+00
430.0,2.086303,0.000000e+00
435.0,2.084258,0.000000e+00
440.0,2.082288,0.000000e+00
445.0,2.080391,0.000000e+00
450.0,2.078561,0.000000e+00
455.0,2.076797,0.000000e+00
460.0,2.075094,0.000000e+00
465.0,2.073450,0.000000e+00
470.0,2.071862,0.000000e+00
475.0,2.070327,0.000000e+00
480.0,2.068843,0.000000e+00
485.0,2.067407,0.000000e+00
490.0,2.066018,0.000000e+00
495.0,2.064673,0.000000e+00
500.0,2.063370,0.000000e+00
505.0,2.062107,0.000000e+00
510.0,2.060883,0.000000e+00
515.0,2.059696,0.000000e+00
520.0,2.058545,0.000000e+00
525.0,2.057427,0.000000e+00
530.0,2.056342,0.000000e+00
535.0,2.055288,0.000000e+00
540.0,2.054264,0.000000e+00
545.0,2.053268,0.000000e+00
550.0,2.052301,0.000000e+00
555.0,2.051359,0.000000e+00
560.0,2.050443,0.000000e+00
565.0,2.049552,0.000000e+00
570.0,2.048684,0.000000e+00
575.0,2.047838,0.000000e+00
580.0,2.047015,0.000000e+00
585.0,2.046212,0.000000e+00
590.0,2.045430,0.000000e+00
595.0,2.044667,0.000000e+00
600.0,2.043922,0.000000e+00
605.0,2.043196,0.000000e+00
610.0,2.042488,0.000000e+00
615.0,2.041796,0.000000e+00
620.0,2.041120,0.000000e+00
625.0,2.040460,0.000000e+00
630.0,2.039815,0.000000e+00
635.0,2.039185,0.000000e+00
640.0,2.038569,0.000000e+00
645.0,2.037966,0.000000e+00
650.0,2.037377,0.000000e+00
655.0,2.036800,0.000000e+00
660.0,2.036236,0.000000e+00
665.0,2.035684,0.000000e+00
670.0,2.035143,0.000000e+00
675.0,2.034613,0.000000e+00
680.0,2.034095,0.000000e+00
685.0,2.033586,0.000000e+00
690.0,2.033088,0.000000e+00
695.0,2.032600,0.000000e+00
700.0,2.032121,0.000000e+00
705.0,2.031652,0.000000e+00
710.0,2.031191,0.000000e+00
715.0,2.030739,0.000000e+00
720.0,2.030296,0.000000e+00
725.0,2.029860,0.000000e+00
