# Fused silica (SiO2) refractive index
# Source: Malitson, J. Opt. Soc. Am. 55, 1205-1208 (1965)
# Sellmeier formula valid 0.21-6.7 um; T=293 K
# k assumed = 0 (transparent across VNIR-SWIR)
wavelength_nm,n,k
400.0,1.470116,0.000000e+00
405.0,1.469581,0.000000e+00
410.0,1.469066,0.000000e+00
415.0,1.468571,0.000000e+00
420.0,1.468094,0.000000e+00
425.0,1.467634,0.000000e+00
430.0,1.467190,0.000000e+00
435.0,1.466763,0.000000e+00
440.0,1.466350,0.000000e+00
445.0,1.465951,0.000000e+00
450.0,1.465566,0.000000e+00
455.0,1.465193,0.000000e+00
460.0,1.464833,0.000000e+00
465.0,1.464484,0.000000e+00
470.0,1.464146,0.000000e+00
475.0,1.463819,0.000000e+00
480.0,1.463502,0.000000e+00
485.0,1.463195,0.000000e+00
490.0,1.462897,0.000000e+00
495.0,1.462607,0.000000e+00
500.0,1.462326,0.000000e+00
505.0,1.462054,0.000000e+00
510.0,1.461789,0.000000e+00
515.0,1.461531,0.000000e+00
520.0,1.461280,0.000000e+00
525.0,1.461037,0.000000e+00
530.0,1.460799,0.000000e+00
535.0,1.460569,0.000000e+00
540.0,1.460344,0.000000e+00
545.0,1.460124,0.000000e+00
550.0,1.459911,0.000000e+00
555.0,1.459703,0.000000e+00
560.0,1.459500,0.000000e+00
565.0,1.459301,0.000000e+00
570.0,1.459108,0.000000e+00
575.0,1.458919,0.000000e+00
580.0,1.458735,0.000000e+00
585.0,1.458554,0.000000e+00
590.0,1.458378,0.000000e+00
595.0,1.458206,0.000000e+00
600.0,1.458038,0.000000e+00
605.0,1.457873,0.000000e+00
610.0,1.457712,0.000000e+00
615.0,1.457554,0.000000e+00
620.0,1.457399,0.000000e+00
625.0,1.457248,0.000000e+00
630.0,1.457100,0.000000e+00
635.0,1.456954,0.000000e+00
640.0,1.456812,0.000000e+00
645.0,1.456672,0.000000e+00
650.0,1.456535,0.000000e+00
655.0,1.456400,0.000000e+00
660.0,1.456268,0.000000e+00
665.0,1.456139,0.000000e+00
670.0,1.456011,0.000000e+00
675.0,1.455886,0.000000e+00
680.0,1.455764,0.000000e+00
685.0,1.455643,0.000000e+00
690.0,1.455524,0.000000e+00
695.0,1.455407,0.000000e+00
700.0,1.455292,0.000000e+00
705.0,1.455179,0.000000e+00
710.0,1.455068,0.000000e+00
715.0,1.454959,0.000000e+00
720.0,1.454851,0.000000e+00
725.0,1.454745,0.000000e+00
730.0,1.454640,0.000000e+00
735.0,1.454537,0.000000e+00
740.0,1.454436,0.000000e+00
745.0,1.454335,0.000000e+00
750.0,1.454237,0.000000e+00
755.0,1.454139,0.000000e+00
760.0,1.454043,0.000000e+00
765.0,1.453948,0.000000e+00
770.0,1.453855,0.000000e+00
775.0,1.453762,0.000000e+00
780.0,1.453671,0.000000e+00
785.0,1.453581,0.000000e+00
790.0,1.453492,0.000000e+00
795.0,1.453404,0.000000e+00
800.0,1.453317,0.000000e+00
805.0,1.453231,0.000000e+00
810.0,1.453146,0.000000e+00
815.0,1.453062,0.000000e+00
820.0,1.452979,0.000000e+00
825.0,1.452897,0.000000e+00
830.0,1.452816,0.000000e+00
835.0,1.452735,0.000000e+00
840.0,1.452655,0.000000e+00
845.0,1.452576,0.000000e+00
850.0,1.452498,0.000000e+00
855.0,1.452421,0.000000e+00
860.0,1.452344,0.000000e+00
865.0,1.452268,0.000000e+00
870.0,1.452193,0.000000e+00
875.0,1.452118,0.000000e+00
880.0,1.452044,0.000000e+00
885.0,1.451971,0.000000e+00
890.0,1.451898,0.000000e+00
895.0,1.451826,0.000000e+00
900.0,1.451754,0.000000e+00
905.0,1.451683,0.000000e+00
910.0,1.451612,0.000000e+00
915.0,1.451542,0.000000e+00
920.0,1.451473,0.000000e+00
925.0,1.451404,0.000000e+00
930.0,1.451335,0.000000e+00
935.0,1.451267,0.000000e+00
940.0,1.451199,0.000000e+00
945.0,1.451132,0.000000e+00
950.0,1.451065,0.000000e+00
955.0,1.450999,0.000000e+00
960.0,1.450933,0.000000e+00
965.0,1.450867,0.000000e+00
970.0,1.450802,0.000000e+00
975.0,1.450737,0.000000e+00
980.0,1.450672,0.000000e+00
985.0,1.450608,0.000000e+00
990.0,1.450544,0.000000e+00
995.0,1.450481,0.000000e+00
1000.0,1.450417,0.000000e+00
1005.0,1.450354,0.000000e+00
1010.0,1.450292,0.000000e+00
1015.0,1.450229,0.000000e+00
1020.0,1.450167,0.000000e+00
1025.0,1.450105,0.000000e+00
1030.0,1.450044,0.000000e+00
1035.0,1.449982,0.000000e+00
1040.0,1.449921,0.000000e+00
1045.0,1.449860,0.000000e+00
1050.0,1.449800,0.000000e+00
1055.0,1.449739,0.000000e+00
1060.0,1.449679,0.000000e+00
1065.0,1.449619,0.000000e+00
1070.0,1.449559,0.000000e+00
1075.0,1.449499,0.000000e+00
1080.0,1.449440,0.000000e+00
1085.0,1.449381,0.000000e+00
1090.0,1.449321,0.000000e+00
1095.0,1.449262,0.000000e+00
1100.0,1.449204,0.000000e+00
1105.0,1.449145,0.000000e+00
1110.0,1.449086,0.000000e+00
1115.0,1.449028,0.000000e+00
1120.0,1.448970,0.000000e+00
1125.0,1.448911,0.000000e+00
1130.0,1.448853,0.000000e+00
1135.0,1.448795,0.000000e+00
1140.0,1.448738,0.000000e+00
1145.0,1.448680,0.000000e+00
1150.0,1.448622,0.000000e+00
1155.0,1.448565,0.000000e+00
1160.0,1.448507,0.000000e+00
1165.0,1.448450,0.000000e+00
1170.0,1.448393,0.000000e+00
1175.0,1.448335,0.000000e+00
1180.0,1.448278,0.000000e+00
1185.0,1.448221,0.000000e+00
1190.0,1.448164,0.000000e+00
1195.0,1.448107,0.000000e+00
1200.0,1.448050,0.000000e+00
1205.0,1.447993,0.000000e+00
1210.0,1.447936,0.000000e+00
1215.0,1.447880,0.000000e+00
1220.0,1.447823,0.000000e+00
1225.0,1.447766,0.000000e+00
1230.0,1.447710,0.000000e+00
1235.0,1.447653,0.000000e+00
1240.0,1.447596,0.000000e+00
1245.0,1.447540,0.000000e+00
1250.0,1.447483,0.000000e+00
1255.0,1.447427,0.000000e+00
1260.0,1.447370,0.000000e+00
1265.0,1.447313,0.000000e+00
1270.0,1.447257,0.000000e+00
1275.0,1.447200,0.000000e+00
1280.0,1.447144,0.000000e+00
1285.0,1.447087,0.000000e+00
1290.0,1.447031,0.000000e+00
1295.0,1.446974,0.000000e+00
1300.0,1.446918,0.000000e+00
1305.0,1.446861,0.000000e+00
1310.0,1.446804,0.000000e+00
1315.0,1.446748,0.000000e+00
1320.0,1.446691,0.000000e+00
1325.0,1.446634,0.000000e+00
1330.0,1.446578,0.000000e+00
1335.0,1.446521,0.000000e+00
1340.0,1.446464,0.000000e+00
1345.0,1.446407,0.000000e+00
1350.0,1.446350,0.000000e+00
1355.0,1.446294,0.000000e+00
1360.0,1.446237,0.000000e+00
1365.0,1.446180,0.000000e+00
1370.0,1.446123,0.000000e+00
1375.0,1.446066,0.000000e+00
1380.0,1.446008,0.000000e+00
1385.0,1.445951,0.000000e+00
1390.0,1.445894,0.000000e+00
1395.0,1.445837,0.000000e+00
1400.0,1.445779,0.000000e+00
1405.0,1.445722,0.000000e+00
1410.0,1.445665,0.000000e+00
1415.0,1.445607,0.000000e+00
1420.0,1.445549,0.000000e+00
1425.0,1.445492,0.000000e+00
1430.0,1.445434,0.000000e+00
1435.0,1.445376,0.000000e+00
1440.0,1.445318,0.000000e+00
1445.0,1.445260,0.000000e+00
1450.0,1.445202,0.000000e+00
1455.0,1.445144,0.000000e+00
1460.0,1.445086,0.000000e+00
1465.0,1.445028,0.000000e+00
1470.0,1.444970,0.000000e+00
1475.0,1.444911,0.000000e+00
1480.0,1.444853,0.000000e+00
1485.0,1.444794,0.000000e+00
1490.0,1.444735,0.000000e+00
1495.0,1.444677,0.000000e+00
1500.0,1.444618,0.000000e+00
1505.0,1.444559,0.000000e+00
1510.0,1.444500,0.000000e+00
1515.0,1.444440,0.000000e+00
1520.0,1.444381,0.000000e+00
1525.0,1.444322,0.000000e+00
1530.0,1.444262,0.000000e+00
1535.0,1.444203,0.000000e+00
1540.0,1.444143,0.000000e+00
1545.0,1.444083,0.000000e+00
1550.0,1.444024,0.000000e+00
1555.0,1.443964,0.000000e+00
1560.0,1.443904,0.000000e+00
1565.0,1.443843,0.000000e+00
1570.0,1.443783,0.000000e+00
1575.0,1.443723,0.000000e+00
1580.0,1.443662,0.000000e+00
1585.0,1.443602,0.000000e+00
1590.0,1.443541,0.000000e+00
1595.0,1.443480,0.000000e+00
1600.0,1.443419,0.000000e+00
1605.0,1.443358,0.000000e+00
1610.0,1.443297,0.000000e+00
1615.0,1.443235,0.000000e+00
1620.0,1.443174,0.000000e+00
1625.0,1.443112,0.000000e+00
1630.0,1.443051,0.000000e+00
1635.0,1.442989,0.000000e+00
1640.0,1.442927,0.000000e+00
1645.0,1.442865,0.000000e+00
1650.0,1.442803,0.000000e+00
1655.0,1.442740,0.000000e+00
1660.0,1.442678,0.000000e+00
1665.0,1.442615,0.000000e+00
1670.0,1.442553,0.000000e+00
