# Titanium dioxide (TiO2, ALD-deposited thin film) refractive index
# Source: Siefke et al., Adv. Opt. Mater. 4, 1780-1786 (2016)
# 350 nm ALD TiO2 film; tabulated n,k from 120 nm to 125 um
# Lossless across VNIR-SWIR (k < 1e-3 throughout; ~0 past 500 nm)
# This is the canonical 'metasurface TiO2' used by Capasso group et al.
# NOTE: Crystalline phase (anatase/rutile) of ALD films depends on
#       deposition temperature; Siefke film is amorphous-to-nanocrystalline
wavelength_nm,n,k
400.0,2.681087,6.493398e-04
405.0,2.663166,4.231566e-04
410.0,2.646767,2.795358e-04
415.0,2.631656,1.863554e-04
420.0,2.617673,1.253756e-04
425.0,2.604686,8.510064e-05
430.0,2.592585,5.830732e-05
435.0,2.581274,4.028470e-05
440.0,2.570674,2.807085e-05
445.0,2.560716,1.971015e-05
450.0,2.551340,1.396043e-05
455.0,2.542493,9.955388e-06
460.0,2.534129,7.154888e-06
465.0,2.526209,5.172316e-06
470.0,2.518706,3.775988e-06
475.0,2.511583,2.783665e-06
480.0,2.504806,2.059173e-06
485.0,2.498350,1.529625e-06
490.0,2.492191,1.144736e-06
495.0,2.486316,8.606256e-07
500.0,2.480709,6.528010e-07
505.0,2.475342,4.976366e-07
510.0,2.470197,3.798687e-07
515.0,2.465277,2.929696e-07
520.0,2.460557,2.271529e-07
525.0,2.456020,1.767783e-07
530.0,2.451667,1.379430e-07
535.0,2.447484,1.085400e-07
540.0,2.443451,8.533425e-08
545.0,2.439580,6.776604e-08
550.0,2.435844,5.394550e-08
555.0,2.432245,4.309409e-08
560.0,2.428774,3.460184e-08
565.0,2.425421,2.787332e-08
570.0,2.422189,2.251439e-08
575.0,2.419058,1.827569e-08
580.0,2.416041,1.492808e-08
585.0,2.413114,1.213028e-08
590.0,2.410289,9.976801e-09
595.0,2.407549,8.207274e-09
600.0,2.404899,6.776956e-09
605.0,2.402328,5.606999e-09
610.0,2.399836,4.645770e-09
615.0,2.397422,3.866434e-09
620.0,2.395073,3.221387e-09
625.0,2.392802,2.694128e-09
630.0,2.390590,2.249630e-09
635.0,2.388444,1.889855e-09
640.0,2.386360,1.587284e-09
645.0,2.384330,1.329967e-09
650.0,2.382359,1.117758e-09
655.0,2.380442,9.404010e-10
660.0,2.378573,7.888978e-10
665.0,2.376757,6.623436e-10
670.0,2.374989,5.549102e-10
675.0,2.373264,4.633047e-10
680.0,2.371584,3.852821e-10
685.0,2.369949,3.186295e-10
690.0,2.368354,2.616144e-10
695.0,2.366796,2.123563e-10
700.0,2.365278,1.698675e-10
705.0,2.363798,1.338073e-10
710.0,2.362353,1.020815e-10
715.0,2.360941,0.000000e+00
720.0,2.359561,0.000000e+00
725.0,2.358217,0.000000e+00
730.0,2.356902,0.000000e+00
735.0,2.355617,0.000000e+00
740.0,2.354360,0.000000e+00
745.0,2.353130,0.000000e+00
750.0,2.351929,0.000000e+00
755.0,2.350755,0.000000e+00
760.0,2.349605,0.000000e+00
765.0,2.348480,0.000000e+00
770.0,2.347379,0.000000e+00
775.0,2.346300,0.000000e+00
780.0,2.345243,0.000000e+00
785.0,2.344208,0.000000e+00
790.0,2.343196,0.000000e+00
795.0,2.342204,0.000000e+00
800.0,2.341231,0.000000e+00
805.0,2.340277,0.000000e+00
810.0,2.339342,0.000000e+00
815.0,2.338425,0.000000e+00
820.0,2.337526,0.000000e+00
825.0,2.336643,0.000000e+00
830.0,2.335778,0.000000e+00
835.0,2.334928,0.000000e+00
840.0,2.334094,0.000000e+00
845.0,2.333275,0.000000e+00
850.0,2.332471,0.000000e+00
855.0,2.331682,0.000000e+00
860.0,2.330907,0.000000e+00
865.0,2.330145,0.000000e+00
870.0,2.329397,0.000000e+00
875.0,2.328662,0.000000e+00
880.0,2.327939,0.000000e+00
885.0,2.327229,0.000000e+00
890.0,2.326530,0.000000e+00
895.0,2.325843,0.000000e+00
900.0,2.325168,0.000000e+00
905.0,2.324504,0.000000e+00
910.0,2.323850,0.000000e+00
915.0,2.323207,0.000000e+00
920.0,2.322575,0.000000e+00
925.0,2.321952,0.000000e+00
930.0,2.321339,0.000000e+00
935.0,2.320735,0.000000e+00
940.0,2.320141,0.000000e+00
945.0,2.319555,0.000000e+00
950.0,2.318978,0.000000e+00
955.0,2.318410,0.000000e+00
960.0,2.317851,0.000000e+00
965.0,2.317300,0.000000e+00
970.0,2.316757,0.000000e+00
975.0,2.316222,0.000000e+00
980.0,2.315694,0.000000e+00
985.0,2.315174,0.000000e+00
990.0,2.314661,0.000000e+00
995.0,2.314155,0.000000e+00
1000.0,2.313655,0.000000e+00
1005.0,2.313163,0.000000e+00
1010.0,2.312678,0.000000e+00
1015.0,2.312200,0.000000e+00
1020.0,2.311727,0.000000e+00
1025.0,2.311261,0.000000e+00
1030.0,2.310800,0.000000e+00
1035.0,2.310345,0.000000e+00
1040.0,2.309897,0.000000e+00
1045.0,2.309455,0.000000e+00
1050.0,2.309018,0.000000e+00
1055.0,2.308586,0.000000e+00
1060.0,2.308159,0.000000e+00
1065.0,2.307737,0.000000e+00
1070.0,2.307321,0.000000e+00
1075.0,2.306910,0.000000e+00
1080.0,2.306504,0.000000e+00
1085.0,2.306102,0.000000e+00
1090.0,2.305705,0.000000e+00
1095.0,2.305313,0.000000e+00
1100.0,2.304925,0.000000e+00
1105.0,2.304542,0.000000e+00
1110.0,2.304162,0.000000e+00
1115.0,2.303787,0.000000e+00
1120.0,2.303417,0.000000e+00
1125.0,2.303050,0.000000e+00
1130.0,2.302687,0.000000e+00
1135.0,2.302328,0.000000e+00
1140.0,2.301973,0.000000e+00
1145.0,2.301622,0.000000e+00
1150.0,2.301274,0.000000e+00
1155.0,2.300929,0.000000e+00
1160.0,2.300588,0.000000e+00
1165.0,2.300251,0.000000e+00
1170.0,2.299917,0.000000e+00
1175.0,2.299586,0.000000e+00
1180.0,2.299259,0.000000e+00
1185.0,2.298935,0.000000e+00
1190.0,2.298614,0.000000e+00
1195.0,2.298295,0.000000e+00
1200.0,2.297980,0.000000e+00
1205.0,2.297668,0.000000e+00
1210.0,2.297359,0.000000e+00
1215.0,2.297052,0.000000e+00
1220.0,2.296748,0.000000e+00
1225.0,2.296447,0.000000e+00
1230.0,2.296148,0.000000e+00
1235.0,2.295853,0.000000e+00
1240.0,2.295560,0.000000e+00
1245.0,2.295269,0.000000e+00
1250.0,2.294980,0.000000e+00
1255.0,2.294695,0.000000e+00
1260.0,2.294411,0.000000e+00
1265.0,2.294130,0.000000e+00
1270.0,2.293851,0.000000e+00
1275.0,2.293574,0.000000e+00
1280.0,2.293299,0.000000e+00
1285.0,2.293027,0.000000e+00
1290.0,2.292757,0.000000e+00
1295.0,2.292488,0.000000e+00
1300.0,2.292223,0.000000e+00
1305.0,2.291958,0.000000e+00
1310.0,2.291696,0.000000e+00
1315.0,2.291436,0.000000e+00
1320.0,2.291177,0.000000e+00
1325.0,2.290920,0.000000e+00
1330.0,2.290666,0.000000e+00
1335.0,2.290413,0.000000e+00
1340.0,2.290162,0.000000e+00
1345.0,2.289912,0.000000e+00
1350.0,2.289664,0.000000e+00
1355.0,2.289418,0.000000e+00
1360.0,2.289174,0.000000e+00
1365.0,2.288931,0.000000e+00
1370.0,2.288689,0.000000e+00
1375.0,2.288450,0.000000e+00
1380.0,2.288211,0.000000e+00
1385.0,2.287974,0.000000e+00
1390.0,2.287739,0.000000e+00
1395.0,2.287505,0.000000e+00
1400.0,2.287273,0.000000e+00
1405.0,2.287041,0.000000e+00
1410.0,2.286811,0.000000e+00
1415.0,2.286583,0.000000e+00
1420.0,2.286355,0.000000e+00
1425.0,2.286130,0.000000e+00
1430.0,2.285905,0.000000e+00
1435.0,2.285682,0.000000e+00
1440.0,2.285460,0.000000e+00
1445.0,2.285238,0.000000e+00
1450.0,2.285019,0.000000e+00
1455.0,2.284800,0.000000e+00
1460.0,2.284582,0.000000e+00
1465.0,2.284366,0.000000e+00
1470.0,2.284150,0.000000e+00
1475.0,2.283936,0.000000e+00
1480.0,2.283723,0.000000e+00
1485.0,2.283511,0.000000e+00
1490.0,2.283299,0.000000e+00
1495.0,2.283089,0.000000e+00
1500.0,2.282880,0.000000e+00
1505.0,2.282671,0.000000e+00
1510.0,2.282464,0.000000e+00
1515.0,2.282258,0.000000e+00
1520.0,2.282052,0.000000e+00
1525.0,2.281848,0.000000e+00
1530.0,2.281644,0.000000e+00
1535.0,2.281441,0.000000e+00
1540.0,2.281238,0.000000e+00
1545.0,2.281037,0.000000e+00
1550.0,2.280837,0.000000e+00
1555.0,2.280637,0.000000e+00
1560.0,2.280438,0.000000e+00
1565.0,2.280240,0.000000e+00
1570.0,2.280043,0.000000e+00
1575.0,2.279846,0.000000e+00
1580.0,2.279650,0.000000e+00
1585.0,2.279455,0.000000e+00
1590.0,2.279261,0.000000e+00
1595.0,2.279067,0.000000e+00
1600.0,2.278873,0.000000e+00
1605.0,2.278681,0.000000e+00
1610.0,2.278489,0.000000e+00
1615.0,2.278298,0.000000e+00
1620.0,2.278107,0.000000e+00
1625.0,2.277917,0.000000e+00
1630.0,2.277728,0.000000e+00
1635.0,2.277539,0.000000e+00
1640.0,2.277351,0.000000e+00
1645.0,2.277163,0.000000e+00
1650.0,2.276976,0.000000e+00
1655.0,2.276789,0.000000e+00
1660.0,2.276603,0.000000e+00
1665.0,2.276418,0.000000e+00
1670.0,2.276233,0.000000e+00
1675.0,2.276048,0.000000e+00
1680.0,2.275864,0.000000e+00
1685.0,2.275681,0.000000e+00
1690.0,2.275497,0.000000e+00
1695.0,2.275315,0.000000e+00
1700.0,2.275133,0.000000e+00
1705.0,2.274951,0.000000e+00
1710.0,2.274770,0.000000e+00
1715.0,2.274589,0.000000e+00
1720.0,2.274408,0.000000e+00
1725.0,2.274228,0.000000e+00
1730.0,2.274049,0.000000e+00
1735.0,2.273869,0.000000e+00
1740.0,2.273690,0.000000e+00
1745.0,2.273512,0.000000e+00
1750.0,2.273334,0.000000e+00
1755.0,2.273156,0.000000e+00
1760.0,2.272978,0.000000e+00
1765.0,2.272801,0.000000e+00
1770.0,2.272624,0.000000e+00
1775.0,2.272448,0.000000e+00
1780.0,2.272272,0.000000e+00
1785.0,2.272096,0.000000e+00
1790.0,2.271920,0.000000e+00
1795.0,2.271745,0.000000e+00
1800.0,2.271570,0.000000e+00
1805.0,2.271396,0.000000e+00
1810.0,2.271221,0.000000e+00
1815.0,2.271047,0.000000e+00
1820.0,2.270873,0.000000e+00
