# Amorphous silicon (a-Si) refractive index
# Source: Pierce & Spicer, Phys. Rev. B 5, 3017-3029 (1972)
# Tabulated data from a 60-nm a-Si film, interpolated to grid
# Data extrapolated 2.066-2.500 um (n flat, k=0 beyond bandgap)
# WARNING: Strongly absorbing for wl < ~900 nm (k > 0.04)
#          Visible-band tiles will have low transmission
#          For a-Si:H (PECVD with H), absorption edge red-shifts slightly
wavelength_nm,n,k
400.0,4.380000,2.020000e+00
405.0,4.380000,2.020000e+00
410.0,4.380000,2.020000e+00
415.0,4.385186,1.998102e+00
420.0,4.400441,1.933695e+00
425.0,4.415695,1.869288e+00
430.0,4.430949,1.804881e+00
435.0,4.446203,1.740475e+00
440.0,4.461458,1.676068e+00
445.0,4.471290,1.616774e+00
450.0,4.474223,1.563988e+00
455.0,4.477155,1.511202e+00
460.0,4.480088,1.458416e+00
465.0,4.483021,1.405630e+00
470.0,4.485953,1.352845e+00
475.0,4.488886,1.300059e+00
480.0,4.486754,1.254031e+00
485.0,4.481518,1.212147e+00
490.0,4.476283,1.170262e+00
495.0,4.471047,1.128377e+00
500.0,4.468058,1.090680e+00
505.0,4.465631,1.054029e+00
510.0,4.463204,1.017379e+00
515.0,4.460777,9.807282e-01
520.0,4.452766,9.488170e-01
525.0,4.442128,9.191362e-01
530.0,4.431489,8.894553e-01
535.0,4.420851,8.597745e-01
540.0,4.410213,8.300936e-01
545.0,4.399574,8.004128e-01
550.0,4.388936,7.707319e-01
555.0,4.378298,7.410511e-01
560.0,4.367660,7.113702e-01
565.0,4.356767,6.843055e-01
570.0,4.345222,6.639680e-01
575.0,4.333677,6.436306e-01
580.0,4.322131,6.232931e-01
585.0,4.310586,6.029556e-01
590.0,4.299041,5.826181e-01
595.0,4.287496,5.622806e-01
600.0,4.275950,5.419432e-01
605.0,4.264405,5.216057e-01
610.0,4.252860,5.012682e-01
615.0,4.241314,4.809307e-01
620.0,4.229817,4.607003e-01
625.0,4.220642,4.457156e-01
630.0,4.211468,4.307309e-01
635.0,4.202294,4.157462e-01
640.0,4.193119,4.007615e-01
645.0,4.183945,3.857768e-01
650.0,4.174771,3.707920e-01
655.0,4.164696,3.569006e-01
660.0,4.153646,3.441934e-01
665.0,4.142597,3.314862e-01
670.0,4.131547,3.187790e-01
675.0,4.120497,3.060718e-01
680.0,4.109448,2.933646e-01
685.0,4.098398,2.806575e-01
690.0,4.087630,2.688667e-01
695.0,4.077753,2.599778e-01
700.0,4.067877,2.510889e-01
705.0,4.058000,2.422000e-01
710.0,4.048123,2.333111e-01
715.0,4.038247,2.244222e-01
720.0,4.028370,2.155333e-01
725.0,4.018494,2.066444e-01
730.0,4.008772,1.980329e-01
735.0,4.000000,1.911250e-01
740.0,3.991228,1.842171e-01
745.0,3.982456,1.773092e-01
750.0,3.973684,1.704013e-01
755.0,3.964912,1.634934e-01
760.0,3.956140,1.565855e-01
765.0,3.947368,1.496776e-01
770.0,3.938596,1.427697e-01
775.0,3.929865,1.358940e-01
780.0,3.923095,1.305942e-01
785.0,3.916325,1.252944e-01
790.0,3.909555,1.199946e-01
795.0,3.902785,1.146948e-01
800.0,3.896015,1.093950e-01
805.0,3.889246,1.040952e-01
810.0,3.882476,9.879536e-02
815.0,3.875706,9.349555e-02
820.0,3.868936,8.819574e-02
825.0,3.862166,8.289594e-02
830.0,3.854814,7.883153e-02
835.0,3.847186,7.534847e-02
840.0,3.839559,7.186542e-02
845.0,3.831932,6.838237e-02
850.0,3.824305,6.489932e-02
855.0,3.816678,6.141627e-02
860.0,3.809051,5.793322e-02
865.0,3.801424,5.445017e-02
870.0,3.793797,5.096712e-02
875.0,3.786169,4.748407e-02
880.0,3.778542,4.400102e-02
885.0,3.770915,4.051797e-02
890.0,3.764194,3.751290e-02
895.0,3.757595,3.457302e-02
900.0,3.750997,3.163314e-02
905.0,3.744399,2.869326e-02
910.0,3.737801,2.575337e-02
915.0,3.731202,2.281349e-02
920.0,3.724604,1.987361e-02
925.0,3.718006,1.693372e-02
930.0,3.711408,1.399384e-02
935.0,3.704809,1.105396e-02
940.0,3.698211,8.114076e-03
945.0,3.691613,5.174194e-03
950.0,3.685015,2.234311e-03
955.0,3.678939,0.000000e+00
960.0,3.674520,0.000000e+00
965.0,3.670101,0.000000e+00
970.0,3.665682,0.000000e+00
975.0,3.661263,0.000000e+00
980.0,3.656843,0.000000e+00
985.0,3.652424,0.000000e+00
990.0,3.648005,0.000000e+00
995.0,3.643586,0.000000e+00
1000.0,3.639167,0.000000e+00
1005.0,3.634747,0.000000e+00
1010.0,3.630328,0.000000e+00
1015.0,3.625909,0.000000e+00
1020.0,3.621490,0.000000e+00
1025.0,3.617071,0.000000e+00
1030.0,3.612652,0.000000e+00
1035.0,3.609149,0.000000e+00
1040.0,3.607021,0.000000e+00
1045.0,3.604894,0.000000e+00
1050.0,3.602766,0.000000e+00
1055.0,3.600638,0.000000e+00
1060.0,3.598511,0.000000e+00
1065.0,3.596383,0.000000e+00
1070.0,3.594255,0.000000e+00
1075.0,3.592128,0.000000e+00
1080.0,3.590000,0.000000e+00
1085.0,3.587872,0.000000e+00
1090.0,3.585745,0.000000e+00
1095.0,3.583617,0.000000e+00
1100.0,3.581489,0.000000e+00
1105.0,3.579362,0.000000e+00
1110.0,3.577234,0.000000e+00
1115.0,3.575106,0.000000e+00
1120.0,3.572979,0.000000e+00
1125.0,3.570851,0.000000e+00
1130.0,3.569204,0.000000e+00
1135.0,3.567876,0.000000e+00
1140.0,3.566549,0.000000e+00
1145.0,3.565221,0.000000e+00
1150.0,3.563894,0.000000e+00
1155.0,3.562566,0.000000e+00
1160.0,3.561239,0.000000e+00
1165.0,3.559912,0.000000e+00
1170.0,3.558584,0.000000e+00
1175.0,3.557257,0.000000e+00
1180.0,3.555929,0.000000e+00
1185.0,3.554602,0.000000e+00
1190.0,3.553274,0.000000e+00
1195.0,3.551947,0.000000e+00
1200.0,3.550619,0.000000e+00
1205.0,3.549292,0.000000e+00
1210.0,3.547965,0.000000e+00
1215.0,3.546637,0.000000e+00
1220.0,3.545310,0.000000e+00
1225.0,3.543982,0.000000e+00
1230.0,3.542655,0.000000e+00
1235.0,3.541327,0.000000e+00
1240.0,3.540000,0.000000e+00
1245.0,3.538551,0.000000e+00
1250.0,3.537101,0.000000e+00
1255.0,3.535652,0.000000e+00
1260.0,3.534203,0.000000e+00
1265.0,3.532754,0.000000e+00
1270.0,3.531304,0.000000e+00
1275.0,3.529855,0.000000e+00
1280.0,3.528406,0.000000e+00
1285.0,3.526957,0.000000e+00
1290.0,3.525507,0.000000e+00
1295.0,3.524058,0.000000e+00
1300.0,3.522609,0.000000e+00
1305.0,3.521159,0.000000e+00
1310.0,3.519710,0.000000e+00
1315.0,3.518261,0.000000e+00
1320.0,3.516812,0.000000e+00
1325.0,3.515362,0.000000e+00
1330.0,3.513913,0.000000e+00
1335.0,3.512464,0.000000e+00
1340.0,3.511014,0.000000e+00
1345.0,3.509565,0.000000e+00
1350.0,3.508116,0.000000e+00
1355.0,3.506667,0.000000e+00
1360.0,3.505217,0.000000e+00
1365.0,3.503768,0.000000e+00
1370.0,3.502319,0.000000e+00
1375.0,3.500870,0.000000e+00
1380.0,3.499767,0.000000e+00
1385.0,3.499186,0.000000e+00
1390.0,3.498605,0.000000e+00
1395.0,3.498023,0.000000e+00
1400.0,3.497442,0.000000e+00
1405.0,3.496860,0.000000e+00
1410.0,3.496279,0.000000e+00
1415.0,3.495698,0.000000e+00
1420.0,3.495116,0.000000e+00
1425.0,3.494535,0.000000e+00
1430.0,3.493953,0.000000e+00
1435.0,3.493372,0.000000e+00
1440.0,3.492791,0.000000e+00
1445.0,3.492209,0.000000e+00
1450.0,3.491628,0.000000e+00
1455.0,3.491047,0.000000e+00
1460.0,3.490465,0.000000e+00
1465.0,3.489884,0.000000e+00
1470.0,3.489302,0.000000e+00
1475.0,3.488721,0.000000e+00
1480.0,3.488140,0.000000e+00
