gen,d1,d2,d3,h1,h2,h3,fitness
1,96.15,347.12,318.79,247.43,874.18,200.23,0.394961
2,107.15,349.30,341.04,200.19,524.98,212.45,0.377758
3,163.26,253.44,285.87,587.48,1013.66,249.05,0.353666
4,147.48,349.84,336.36,208.01,772.23,488.97,0.369462
5,116.46,348.72,324.25,327.16,831.77,663.73,0.376317
6,201.37,309.93,320.41,751.39,812.68,237.19,0.371008
7,147.67,349.02,286.49,813.30,479.36,253.37,0.344685
8,327.02,312.61,324.57,1179.40,574.60,278.61,0.350535
9,193.65,348.44,349.14,1087.05,249.13,634.49,0.355381
10,248.56,339.38,349.90,771.01,466.28,991.08,0.375774
11,344.75,306.54,342.39,534.13,252.26,1197.33,0.328733
12,158.64,348.93,293.34,1114.19,916.28,994.96,0.365781
13,204.18,349.92,346.51,995.93,338.73,478.22,0.363277
14,348.06,344.69,332.71,561.92,412.24,861.30,0.357752
15,279.37,349.93,292.47,960.98,455.92,838.63,0.355149
16,193.30,303.15,349.58,1097.00,211.20,427.03,0.350661
17,335.89,347.76,334.32,1107.24,345.32,352.36,0.360534
18,305.91,348.13,337.28,1086.43,460.88,887.39,0.359730
19,347.70,348.67,336.14,1135.68,234.79,200.37,0.363370
20,347.80,325.70,333.72,535.37,207.54,1049.84,0.341117
21,349.81,324.28,303.70,466.11,216.84,951.49,0.329379
22,306.08,342.75,294.03,269.43,550.10,1198.78,0.363026
23,339.54,322.54,349.11,385.66,284.70,1190.47,0.343395
24,321.46,324.88,340.24,403.80,238.84,1007.07,0.348754
25,345.06,319.16,316.54,484.37,238.94,959.50,0.323633
26,346.70,333.24,341.65,684.25,218.60,957.65,0.342518
27,349.12,348.00,348.87,478.30,309.02,1161.75,0.334722
28,346.81,334.83,346.16,557.14,324.18,1013.51,0.349787
29,338.39,337.97,348.26,640.56,261.62,1172.63,0.333064
30,349.65,309.86,349.84,683.26,307.78,971.44,0.345359
31,343.00,349.91,344.13,567.63,264.64,1151.89,0.338137
32,341.89,349.63,336.04,469.29,240.22,1199.70,0.342392
33,342.34,348.04,341.94,461.00,259.95,1070.74,0.339779
34,347.33,349.91,349.94,457.40,221.25,1110.75,0.330078
35,349.18,348.93,349.55,463.14,248.37,1187.95,0.320956
36,347.89,349.88,345.21,452.47,214.52,1171.13,0.332161
37,347.96,325.50,349.49,461.36,226.82,1183.78,0.312715
38,349.87,333.44,349.74,472.40,225.00,1125.32,0.319089
39,347.08,334.43,349.17,468.82,228.35,1180.73,0.315841
