Dataset,Model,R2 mean,R2 std,RMSE mean (M),MAE mean (M),n_folds
Fe,Ridge,0.1959,1.2446,1.800e-02,9.907e-03,5
Fe,SVR,0.2589,0.4552,6.883e-03,5.384e-03,5
Fe,XGBoost,0.8219,0.1516,7.743e-03,5.236e-03,5
Fe,CatBoost,0.6377,0.3190,9.987e-03,6.654e-03,5
FeCo,Ridge,-0.1773,1.8516,8.875e-02,4.714e-02,5
FeCo,SVR,0.1436,0.1726,1.803e-02,1.296e-02,5
FeCo,XGBoost,0.1033,0.4065,1.845e-02,1.302e-02,5
FeCo,CatBoost,0.0709,0.3145,2.077e-02,1.479e-02,5
Fe+FeCo,Ridge,0.0253,0.7763,1.506e-02,9.787e-03,5
Fe+FeCo,SVR,0.2614,0.4914,1.582e-02,9.033e-03,5
Fe+FeCo,XGBoost,0.5004,0.5068,1.579e-02,8.565e-03,5
Fe+FeCo,CatBoost,0.5895,0.2351,1.667e-02,8.731e-03,5
